area,price
33.5,
50.67,
37.3,
51.92,
48.6,
78.8,
63.29,
92.81,
37.0,
37.0,
55.9,
58.28,
45.61,
41.52,
41.0,
59.75,
45.32,
43.11,
39.78,
58.66,
46.05,
19.37,
56.0,
41.2,
44.11,
88.32,
55.72,
68.44,
44.1,
27.7,
55.47,
101.15,
51.57,
37.91,
37.41,
68.93,
68.95,
33.5,
